seq,t_wall,t_rel,ik_ok,left_human_dx,left_human_dy,left_human_dz,left_human_distance,left_robot_dx,left_robot_dy,left_robot_dz,left_robot_distance,left_error_dx,left_error_dy,left_error_dz,left_error_distance,right_human_dx,right_human_dy,right_human_dz,right_human_distance,right_robot_dx,right_robot_dy,right_robot_dz,right_robot_distance,right_error_dx,right_error_dy,right_error_dz,right_error_distance
0,1789107607.1693685,0.059517789999517845,1,0.34149819937012416,0.00887974803943005,-0.31778036493000084,0.46656642660324943,0.07646339743719485,0.14721618747373022,-0.3703211203319299,0.40577948342151876,-0.2650348019329293,0.13833643943430018,-0.05254075540192904,0.30354727422461264,0.12253325746798041,-0.33364695385243853,-0.3353403701179891,0.4886592399940837,0.07679224413611693,-0.14902856154612523,-0.3701328065362793,0.4063309677964393,-0.04574101333186348,0.1846183923063133,-0.03479243641829016,0.19335641884952845
1,1789107607.1746655,0.06482292999862693,1,0.34172476084430203,0.00678155530514335,-0.31792430841265884,0.4667951023159086,0.07646339743719485,0.14721618747373022,-0.3703211203319299,0.40577948342151876,-0.26526136340710715,0.14043463216858687,-0.052396811919271036,0.30468164160025646,0.12250746815548766,-0.3350525794309508,-0.33667032682238784,0.49052545265245395,0.07679224413611693,-0.14902856154612523,-0.3701328065362793,0.4063309677964393,-0.045715224019370726,0.18602401788482556,-0.033462479713891435,0.19445964744840444
2,1789107607.2062953,0.09645305099911639,1,0.3417125889745183,0.005961169738076658,-0.3180829916487864,0.4668830887755051,0.07646607327726335,0.14722271590081565,-0.3703224149989346,0.40578353772707343,-0.26524651569725494,0.141261546162739,-0.052239423350148195,0.305023762788701,0.12274575364778609,-0.3351498268567094,-0.33683538775550637,0.49076471442540326,0.07678916281290482,-0.14901688501013508,-0.37013119190154853,0.40632463223645643,-0.04595659083488127,0.18613294184657433,-0.03329580414604216,0.1945921140626118
3,1789107607.2412786,0.13072550400102045,1,0.341789804467744,0.004950762726866287,-0.3184490138368532,0.4671772200175654,0.07646607327726335,0.14722271590081565,-0.3703224149989346,0.40578353772707343,-0.26532373119048064,0.14227195317394936,-0.05187340116208139,0.3054976935115732,0.12388586620320016,-0.33546092947834505,-0.33717428983020037,0.4914959254906315,0.07678916281290482,-0.14901688501013508,-0.37013119190154853,0.40632463223645643,-0.04709670339029534,0.18644404446820997,-0.03295690207134816,0.19510417366637176
4,1789107607.2799752,0.1630720069988456,1,0.34175898831039175,0.0038598772355347144,-0.3186770675067765,0.4672998802674087,0.07646607327726335,0.14722271590081565,-0.3703224149989346,0.40578353772707343,-0.2652929150331284,0.14336283866528093,-0.0516453474921581,0.3059419490598303,0.12503458885904065,-0.3348962035000997,-0.33695644115255896,0.4912522353782499,0.07678916281290482,-0.14901688501013508,-0.37013119190154853,0.40632463223645643,-0.048245426046135825,0.1858793184899646,-0.03317475074898957,0.19488280135487698
5,1789107607.306355,0.19651343700024881,1,0.34175330941386584,0.00386387317901489,-0.31874984477804724,0.4673453942827534,0.08100849216388889,0.14727088198782923,-0.3703545729235451,0.4067107057473671,-0.26074481724997695,0.14340700880881435,-0.05160472814549788,0.30202065801065,0.1277931845298195,-0.3337280599802204,-0.33665782188223425,0.49096232550464014,0.07797192482394547,-0.15246139043570892,-0.37047566816410715,0.40813762058401615,-0.04982125970587403,0.1812666695445115,-0.0338178462818729,0.1910063091460166
6,1789107607.3396714,0.22982057199988049,1,0.3417289644928274,0.003990624380756702,-0.31884479497717444,0.46739342479363655,0.08100849216388889,0.14727088198782923,-0.3703545729235451,0.4067107057473671,-0.2607204723289385,0.14328025760707253,-0.05150977794637068,0.30192325868580955,0.13083803785302886,-0.33164115358212076,-0.33545041059301917,0.48952162859830367,0.07797192482394547,-0.15246139043570892,-0.37047566816410715,0.40813762058401615,-0.052866113029083395,0.17917976314641185,-0.03502525757108799,0.19007099225270838
7,1789107607.3745813,0.263053980001132,1,0.34145228299543817,0.0028904951205022122,-0.31891160350252523,0.46722866711428385,0.08746066005365463,0.14670098075151256,-0.3699967840985776,0.40751461943562967,-0.25399162294178357,0.14381048563101034,-0.05108518059605238,0.29631553448741,0.1283537632065592,-0.3329725591090252,-0.33558171134401693,0.4898576309883085,0.08041121734897186,-0.15587352167460544,-0.3693458062979246,0.40887509494300495,-0.04794254585758734,0.17709903743441974,-0.03376409495390764,0.18655447159358404
8,1789107607.4064953,0.2966542809990642,1,0.3413921885356267,0.0025648446264380786,-0.3187009605386466,0.46703908516242904,0.08746066005365463,0.14670098075151256,-0.3699967840985776,0.40751461943562967,-0.2539315284819721,0.14413613612507448,-0.05129582355993101,0.2964586116289223,0.1275182749786529,-0.33373272112386054,-0.33594720687653723,0.4904069385830656,0.08041121734897186,-0.15587352167460544,-0.3693458062979246,0.40887509494300495,-0.04710705762968104,0.1778591994492551,-0.03339859942138734,0.18699849237511593
9,1789107607.4401894,0.3301114450005116,1,0.3413582436729188,0.002373300094412903,-0.31855712109668644,0.466915112711301,0.08746066005365463,0.14670098075151256,-0.3699967840985776,0.40751461943562967,-0.2538975836192642,0.14432768065709967,-0.05143966300189118,0.29654763749068563,0.12700061554765665,-0.33442252112341425,-0.33630064898593814,0.4909844248979669,0.08041121734897186,-0.15587352167460544,-0.3693458062979246,0.40887509494300495,-0.046589398198684795,0.1785489994488088,-0.03304515731198643,0.18746279537673674
